projection_1	angle_1	projection_2	angle_2	score
79	335	1	220	60.41044352089169
1	95	80	135	20.634103625927477
80	135	1	95	20.634103625927477
1	165	81	170	11.12067344118586
81	170	1	165	11.12067344118586
1	80	82	305	26.491702087594383
82	305	1	80	26.491702087594383
1	75	83	135	32.05290176346571
83	135	1	75	32.05290176346571
1	195	84	320	30.94183049397511
84	320	1	195	30.94183049397511
1	55	85	185	244.97216291518845
85	185	1	55	244.97216291518845
1	45	86	35	67.00444961438674
86	35	1	45	67.00444961438674
1	105	87	150	81.28533228901904
87	150	1	105	81.28533228901904
1	70	88	80	11.107626280931566
88	80	1	70	11.107626280931566
1	350	89	175	11.690091862095572
89	175	1	350	11.690091862095572
1	40	90	320	20.57940373483094
90	320	1	40	20.57940373483094
1	230	91	335	122.52860151446527
91	335	1	230	122.52860151446527
1	45	92	325	124.69747256684288
92	325	1	45	124.69747256684288
1	215	93	305	30.00162627189545
93	305	1	215	30.00162627189545
1	255	94	15	31.145386789905057
94	15	1	255	31.145386789905057
1	260	95	80	27.657685295720945
95	80	1	260	27.657685295720945
1	230	96	90	88.64865392903977
96	90	1	230	88.64865392903977
1	225	97	15	76.38405652687335
97	15	1	225	76.38405652687335
1	230	98	310	74.18976001845084
98	310	1	230	74.18976001845084
1	60	99	100	21.794933851092512
99	100	1	60	21.794933851092512
2	90	3	280	17.914783300831964
3	280	2	90	17.914783300831964
2	260	4	135	32.90724572982711
4	135	2	260	32.90724572982711
2	260	5	325	30.207698670320106
5	325	2	260	30.207698670320106
2	265	6	315	102.91586419784295
6	315	2	265	102.91586419784295
2	100	7	330	108.46008444228687
7	330	2	100	108.46008444228687
2	70	8	300	30.1409126429313
8	300	2	70	30.1409126429313
2	325	9	350	26.44809422583679
9	350	2	325	26.44809422583679
2	85	10	125	104.11771700617275
10	125	2	85	104.11771700617275
2	270	11	185	46.974478928858346
11	185	2	270	46.974478928858346
2	270	12	165	101.10977298417907
12	165	2	270	101.10977298417907
2	335	13	355	16.18562336874861
13	355	2	335	16.18562336874861
2	130	14	165	25.18638486124769
14	165	2	130	25.18638486124769
2	95	15	305	41.90323198257683
15	305	2	95	41.90323198257683
2	55	16	170	79.88900475626389
16	170	2	55	79.88900475626389
2	245	17	240	19.232657340574903
17	240	2	245	19.232657340574903
2	85	18	155	36.73577171573992
18	155	2	85	36.73577171573992
2	150	19	150	35.08159853367598
19	150	2	150	35.08159853367598
2	75	20	320	113.415852040608
20	320	2	75	113.415852040608
2	255	21	245	97.09504339593194
21	245	2	255	97.09504339593194
2	120	22	320	62.63552338726734
22	320	2	120	62.63552338726734
2	95	23	330	37.09555610249385
23	330	2	95	37.09555610249385
2	100	24	165	68.41697887567456
24	165	2	100	68.41697887567456
2	95	25	155	99.53261125625009
25	155	2	95	99.53261125625009
2	80	26	135	26.411817031281945
26	135	2	80	26.411817031281945
2	85	27	10	34.31529687650931
27	10	2	85	34.31529687650931
2	120	28	355	95.69164422813485
28	355	2	120	95.69164422813485
2	80	29	0	84.47124810952533
29	0	2	80	84.47124810952533
2	270	30	290	77.71419038595326
30	290	2	270	77.71419038595326
2	80	31	80	11.907609950423238
31	80	2	80	11.907609950423238
2	255	32	285	68.67770183514975
32	285	2	255	68.67770183514975
2	270	33	260	90.35124587941556
33	260	2	270	90.35124587941556
2	260	34	260	10.89048993293753
34	260	2	260	10.89048993293753
2	270	35	320	41.37342247217956
35	320	2	270	41.37342247217956
2	80	36	150	36.37024075271862
36	150	2	80	36.37024075271862
2	260	37	175	66.52119068891739
37	175	2	260	66.52119068891739
2	145	38	5	26.191297043620498
38	5	2	145	26.191297043620498
2	90	39	130	87.91734731321591
39	130	2	90	87.91734731321591
2	75	40	195	43.303530879574595
40	195	2	75	43.303530879574595
2	75	41	225	32.34552636448519
41	225	2	75	32.34552636448519
2	245	42	195	67.22103208870472
42	195	2	245	67.22103208870472
2	300	43	345	65.91910598060872
43	345	2	300	65.91910598060872
2	265	44	135	18.377129329836364
44	135	2	265	18.377129329836364
2	85	45	140	72.98425893503531
45	140	2	85	72.98425893503531
2	135	46	330	9.92571365249977
46	330	2	135	9.92571365249977
2	310	47	185	26.314757570845213
47	185	2	310	26.314757570845213
2	290	48	345	100.70631875842967
48	345	2	290	100.70631875842967
2	315	49	350	19.828704290557837
49	350	2	315	19.828704290557837
2	15	50	10	18.497455520171908
50	10	2	15	18.497455520171908
2	95	51	315	23.652553597670224
51	315	2	95	23.652553597670224
2	90	52	55	91.43458531977856
52	55	2	90	91.43458531977856
2	280	53	335	172.14381065575142
53	335	2	280	172.14381065575142
2	115	54	325	102.05584664937119
54	325	2	115	102.05584664937119
2	220	55	25	15.976190838816402
55	25	2	220	15.976190838816402
2	90	56	135	101.00072492468594
56	135	2	90	101.00072492468594
2	310	57	175	26.710990365775103
57	175	2	310	26.710990365775103
2	310	58	175	27.5169678818007
58	175	2	310	27.5169678818007
2	80	59	315	26.748295212407815
59	315	2	80	26.748295212407815
2	285	60	165	105.6342016029269
60	165	2	285	105.6342016029269
2	265	61	280	99.7268622081358
61	280	2	265	99.7268622081358
2	75	62	15	25.707267519298423
62	15	2	75	25.707267519298423
2	105	63	210	33.72700827054364
63	210	2	105	33.72700827054364
2	285	64	170	99.16558197101763
64	170	2	285	99.16558197101763
2	235	65	225	19.107430382165685
65	225	2	235	19.107430382165685
2	270	66	95	98.73086939400366
66	95	2	270	98.73086939400366
2	40	67	35	30.126936552010637
67	35	2	40	30.126936552010637
2	260	68	185	27.48948467032874
68	185	2	260	27.48948467032874
2	80	69	145	38.51314392007718
69	145	2	80	38.51314392007718
2	265	70	315	202.5979834075741
70	315	2	265	202.5979834075741
2	100	71	290	91.37804446961934
71	290	2	100	91.37804446961934
2	95	72	295	97.45777187251616
72	295	2	95	97.45777187251616
2	105	73	165	121.01216378933209
73	165	2	105	121.01216378933209
2	80	74	95	110.60876314412779
74	95	2	80	110.60876314412779
2	285	75	140	122.67798216953369
75	140	2	285	122.67798216953369
2	125	76	80	116.1981850465843
76	80	2	125	116.1981850465843
2	85	77	45	103.83579002062642
77	45	2	85	103.83579002062642
2	115	78	150	19.8556400680989
78	150	2	115	19.8556400680989
2	265	79	175	54.543394206758606
79	175	2	265	54.543394206758606
2	115	80	350	28.358133972314917
80	350	2	115	28.358133972314917
2	260	81	85	14.15819710208438
81	85	2	260	14.15819710208438
2	265	82	325	23.990045828117957
82	325	2	265	23.990045828117957
2	80	83	330	28.824366310419776
83	330	2	80	28.824366310419776
2	305	84	350	30.64617705930153
84	350	2	305	30.64617705930153
2	255	85	205	249.63110256172598
